GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
" ""06007""","Butte, CA",8,CAINC1,2,...,Population (persons) 1/,Number of persons,101057,102682,105916,112775,113223,117295,121626,125377,129470,131797,138531,144828,148451,151913,154263,156791,160680,163233,166970,171909,176583,183652,187678,190409,192831,194648,196083,196327,197994,199993,201282,203807,206193,209120,211481,213065,214752,216824,217469,219034,219777,219951,219983,220877,221649,223525,224643,226222,228700,230330,218726,212744
" ""06007""","Butte, CA",8,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,3485,3716,3924,4093,4742,5372,5754,6112,6651,7394,8162,9119,9885,10089,10677,11504,12113,12739,13520,14359,15086,15643,16266,17013,17325,17880,18306,19347,20379,20979,21833,23127,24820,25117,25948,27407,28159,29928,31468,31896,31836,32882,33712,34633,35442,36796,39483,40878,41465,42441,45175,50279
" ""06009""","Calaveras, CA",8,CAINC1,1,...,Personal income (thousands of dollars),Thousands of dollars,48367,53990,57281,65528,73443,80152,90631,103094,116195,137840,155293,186710,211180,224502,254669,296176,327494,354945,396765,439282,514146,557727,591821,626615,664532,685693,714337,775480,825980,892784,956059,1061740,1159433,1220436,1308607,1383063,1441515,1540156,1637736,1679386,1629838,1662974,1696765,1679343,1690024,1786880,1919608,1987797,2075124,2141805,2234933,2455536
" ""06009""","Calaveras, CA",8,CAINC1,2,...,Population (persons) 1/,Number of persons,13328,13658,13918,14241,14798,15185,15205,15694,16709,18301,19777,20916,21700,22778,23530,24196,24870,25854,27194,28248,30071,32542,34023,35233,35943,37073,37700,38441,39098,39581,40000,40645,41304,42380,43755,44530,45295,46045,46268,46265,45900,45467,45159,44816,44658,44677,44972,45307,45658,45747,46119,46308
" ""06009""","Calaveras, CA",8,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,3629,3953,4116,4601,4963,5278,5961,6569,6954,7532,7852,8927,9732,9856,10823,12241,13168,13729,14590,15551,17098,17139,17395,17785,18488,18496,18948,20173,21126,22556,23901,26122,28071,28797,29908,31059,31825,33449,35397,36299,35508,36575,37573,37472,37844,39996,42685,43874,45449,46818,48460,53026
" ""06011""","Colusa, CA",8,CAINC1,1,...,Personal income (thousands of dollars),Thousands of dollars,71938,70572,73203,81932,108333,152063,140803,92610,122237,125226,153981,181886,191975,173013,166506,197851,231531,214446,248295,271546,299907,303990,306884,333271,368243,364659,394298,421786,428180,406236,481368,485560,471410,465489,541175,544954,557028,576412,679990,809381,865392,861389,860792,786401,832093,747704,847051,896370,903059,997221,959057,1237036
" ""06011""","Colusa, CA",8,CAINC1,2,...,Population (persons) 1/,Number of persons,12334,12416,12350,12161,12241,12426,12620,12833,12764,12707,12939,12875,13184,13872,14109,14159,14701,14930,14972,15494,16004,16335,16572,16834,16997,17252,17584,17909,18262,18419,18620,18817,19022,19232,19568,20207,20540,20890,21075,21134,21250,21435,21315,21274,21239,21156,21208,21476,21558,21389,21474,21558
" ""06011""","Colusa, CA",8,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,5832,5684,5927,6737,8850,12237,11157,7217,9577,9855,11901,14127,14561,12472,11801,13974,15749,14363,16584,17526,18740,18610,18518,19797,21665,21137,22424,23552,23447,22055,25852,25804,24782,24204,27656,26969,27119,27593,32265,38298,40724,40186,40384,36965,39178,35342,39940,41738,41890,46623,44661,57382
" ""06013""","Contra Costa, CA",8,CAINC1,1,...,Personal income (thousands of dollars),Thousands of dollars,2787828,2977495,3207997,3523498,3825193,4297142,4837131,5410096,6028523,6863527,7829430,9056173,10193797,10958633,12010322,13330373,14468610,15633048,16881029,18465263,19943640,21206016,22121438,23899181,25039261,26072190,27642275,29728585,32420266,35348537,38176067,43293978,45527698,45163923,46477491,49310464,52124181,56273449,58554220,59979479,56061819,56656536,61038827,66264554,66756974,70278089,76805095,81451804,86986057,91653896,97550344,106318748
" ""06013""","Contra Costa, CA",8,CAINC1,2,...,Population (persons) 1/,Number of persons,546362,556814,563371,567619,573982,581729,589053,601223,614961,626070,642832,658783,667293,678903,690150,698814,711446,725367,739987,759242,784395,809317,823183,839768,852532,861979,872075,884227,903049,921663,936983,952810,970952,979862,987531,992424,999013,1000834,1009152,1023344,1037890,1052516,1065361,1077439,1093253,1108665,1124148,1137259,1145623,1150840,1152883,1152333
" ""06013""","Contra Costa, CA",8,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,5103,5347,5694,6208,6664,7387,8212,8998,9803,10963,12180,13747,15276,16142,17402,19076,20337,21552,22813,24321,25426,26202,26873,28459,29370,30247,31697,33621,35901,38353,40744,45438,46890,46092,47064,49687,52176,56227,58023,58611,54015,53830,57294,61502,61063,63390,68323,71621,75929,79641,84614,92264
" ""06015""","Del Norte, CA",8,CAINC1,1,...,Personal income (thousands of dollars),Thousands of dollars,54540,58809,64960,71700,78529,86327,94539,106229,117924,136445,151703,173993,181532,171581,183670,198267,205107,216519,229952,257068,280856,334423,362139,384938,403488,416504,429870,435039,458706,484871,500137,519747,517423,519513,555938,608167,623965,665709,705478,739231,744698,778572,801299,808491,826465,856962,903662,937540,938696,973220,1007083,1124086
" ""06015""","Del Norte, CA",8,CAINC1,2,...,Population (persons) 1/,Number of persons,14224,14634,14985,15021,15419,15579,16059,16295,16828,17728,17915,18338,18789,18571,18704,18505,18701,19087,19526,20308,21270,23986,27012,27306,27942,28105,27802,27981,28340,28187,27624,27440,27292,27397,27601,27950,28281,28211,28415,28496,28599,28568,28447,28195,27821,27182,27198,27415,27383,27793,27903,27968
" ""06015""","Del Norte, CA",8,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,3834,4019,4335,4773,5093,5541,5887,6519,7008,7697,8468,9488,9662,9239,9820,10714,10968,11344,11777,12658,13204,13942,13407,14097,14440,14820,15462,15548,16186,17202,18105,18941,18959,18962,20142,21759,22063,23597,24828,25942,26039,27253,28168,28675,29707,31527,33225,34198,34280,35017,36092,40192
" ""06017""","El Dorado, CA",8,CAINC1,1,...,Personal income (thousands of dollars),Thousands of dollars,185399,207258,237154,275555,322781,367145,433672,499863,577819,694801,797290,927795,1040609,1112546,1225788,1385857,1542433,1714299,1885475,2103478,2370147,2611704,2818290,3089365,3253816,3524628,3804899,4120660,4486495,4869743,5370008,5874491,6210053,6426857,6682025,7120150,7542868,8045061,8357829,8667250,8417555,8704867,9101448,9473658,9784211,10347622,10921241,11552784,11967113,12563988,13152053,14018235
" ""06017""","El Dorado, CA",8,CAINC1,2,...,Population (persons) 1/,Number of persons,43168,44389,46046,48509,52713,55614,58416,62534,67014,73670,80658,86557,89367,92428,93434,95371,99093,102450,106852,112687,118828,127952,132724,136014,139646,142088,144574,146863,149589,152308,154381,157162,161101,165195,168331,171653,175003,176773,177694,179150,180455,181161,180963,180613,181529,183157,184627,186027,188793,190925,193057,192925
" ""06017""","El Dorado, CA",8,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,4295,4669,5150,5680,6123,6602,7424,7993,8622,9431,9885,10719,11644,12037,13119,14531,15566,16733,17646,18667,19946,20412,21234,22714,23300,24806,26318,28058,29992,31973,34784,37379,38548,38905,39696,41480,43101,45511,47035,48380,46646,48050,50295,52453,53899,56496,59153,62103,63387,65806,68125,72662
" ""06019""","Fresno, CA",8,CAINC1,1,...,Personal income (thousands of dollars),Thousands of dollars,1500510,1653102,1799992,2036193,2339957,2740807,2963789,3397744,3628639,4040140,4792511,5540745,5809316,6125148,6443188,7119275,7644924,8160310,8910556,9572858,10378753,11305019,11853761,12614523,13359184,13672905,14222713,14865185,15268932,16150808,17122168,18468337,19156823,20487249,21972350,23242215,24166137,25850536,27263143,27788298,27798393,29073705,30768390,31695916,32998669,35278492,37664739,38697763,39593851,40888952,42926067,48539267
" ""06019""","Fresno, CA",8,CAINC1,2,...,Population (persons) 1/,Number of persons,408304,414886,424697,431918,439865,449886,464183,477162,489016,497564,506332,517679,528891,541500,555873,572091,584070,593621,608831,627658,650755,672302,691569,710263,726859,739835,749534,761409,771391,778615,789405,801288,813021,829762,847193,861035,872470,883862,895933,909630,921478,932011,939251,944779,951143,960072,968889,976231,984726,991298,997847,1000918
" ""06019""","Fresno, CA",8,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,3675,3984,4238,4714,5320,6092,6385,7121,7420,8120,9465,10703,10984,11311,11591,12444,13089,13747,14636,15252,15949,16815,17140,17760,18379,18481,18975,19523,19794,20743,21690,23048,23563,24691,25935,26993,27699,29247,30430,30549,30167,31195,32758,33548,34694,36746,38874,39640,40208,41248,43019,48495
" ""06021""","Glenn, CA",8,CAINC1,1,...,Personal income (thousands of dollars),Thousands of dollars,71156,73813,78182,92399,120824,144255,142714,130642,147493,170263,209204,256495,254661,249131,235939,266494,286186,283801,320324,341983,349821,368356,369090,409865,433156,435535,425138,474724,495213,471550,502525,520538,569243,579283,611546,666205,684169,681619,814291,840737,866985,899036,959789,980356,1052771,1026782,1097431,1130075,1148084,1212182,1230173,1476911
" ""06021""","Glenn, CA",8,CAINC1,2,...,Population (persons) 1/,Number of persons,17207,17486,17396,17518,18260,18522,19150,19687,20109,20038,20991,21498,22050,22346,22873,22835,23171,23214,23318,23844,24428,24919,25181,25510,25663,25796,26040,26170,26270,26185,26332,26416,26450,26651,27016,27122,27393,27652,27775,28019,28100,28125,28131,27836,27784,27802,27723,27796,27876,27899,28445,28283
" ""06021""","Glenn, CA",8,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,4135,4221,4494,5275,6617,7788,7452,6636,7335,8497,9966,11931,11549,11149,10315,11670,12351,12225,13737,14343,14320,14782,14657,16067,16879,16884,16326,18140,18851,18008,19084,19705,21521,21736,22636,24563,24976,24650,29317,30006,30854,31966,34119,35219,37891,36932,39586,40656,41185,43449,43247,52219
" ""06023""","Humboldt, CA",8,CAINC1,1,...,Personal income (thousands of dollars),Thousands of dollars,390205,410869,449546,484634,538295,592976,650730,735707,802633,882256,969802,1071630,1137324,1167934,1256380,1347309,1419775,1517564,1612109,1725832,1870544,1957517,2035251,2142505,2232589,2305898,2385010,2532287,2665509,2809647,2876616,3023569,3298165,3397606,3620905,3860060,3936574,4155051,4198863,4123490,4350494,4739802,4903360,4952497,5034566,5249786,5594826,5783373,5926934,6065887,6258414,6773452
" ""06023""","Humboldt, CA",8,CAINC1,2,...,Population (persons) 1/,Number of persons,98868,99708,100115,103038,104378,105501,104239,105158,106256,107430,107777,108931,110338,109889,109638,110275,111050,111702,112818,114774,117161,119746,121375,123032,124147,123990,125927,126162,127086,127087,126676,126462,127520,128780,129754,130702,131497,132093,132001,132657,133744,135010,135257,134597,134447,134556,135177,136477,136710,136502,135839,134977
" ""06023""","Humboldt, CA",8,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,3947,4121,4490,4703,5157,5621,6243,6996,7554,8212,8998,9838,10308,10628,11459,12218,12785,13586,14289,15037,15966,16347,16768,17414,17983,18597,18940,20072,20974,22108,22708,23909,25864,26383,27906,29533,29937,31455,31809,31084,32529,35107,36252,36795,37446,39016,41389,42376,43354,44438,46072,50182
" ""06025""","Imperial, CA",8,CAINC1,1,...,Personal income (thousands of dollars),Thousands of dollars,284148,299115,301362,384220,425947,488692,523162,581199,603258,656466,929275,892604,937766,1039053,1100336,1127019,1123270,1161225,1363167,1568327,1688937,1789097,1874590,2015111,2262259,2284882,2360428,2345878,2440859,2611388,2705995,2712646,2984655,3361559,3495156,3594395,3773375,4081732,4340537,4732242,4796535,5087722,5490146,5566933,5769757,6064992,6497386,6358568,6485109,6397063,6711683,8021811
" ""06025""","Imperial, CA",8,CAINC1,2,...,Population (persons) 1/,Number of persons,73604,74795,74931,75869,79648,81526,82989,85264,86981,88474,90086,92584,94301,95688,96890,97475,99199,98885,100077,101881,105166,110839,117143,123823,132758,134315,136986,137987,138624,139615,141056,142410,143707,145640,148984,152259,156113,160505,164596,167917,172008,174704,175731,176487,176301,177786,178701,179881,181250,181062,180439,180267
" ""06025""","Imperial, CA",8,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,3860,3999,4022,5064,5348,5994,6304,6816,6936,7420,10315,9641,9944,10859,11357,11562,11323,11743,13621,15394,16060,16141,16003,16274,17040,17011,17231,17001,17608,18704,19184,19048,20769,23081,23460,23607,24171,25431,26371,28182,27886,29122,31242,31543,32727,34114,36359,35349,35780,35331,37196,44500
" ""06027""","Inyo, CA",8,CAINC1,1,...,Personal income (thousands of dollars),Thousands of dollars,58457,64784,71180,79725,85713,94205,105798,114992,124199,142494,162993,184930,208617,216714,229816,239976,246521,253169,259319,290002,319641,333343,344355,353760,366860,372034,385296,399834,418843,437386,454119,462352,545289,553059,584665,643094,671680,711869,737755,781570,769259,785223,808532,848957,865126,920353,958227,1020295,1050677,1027904,1083706,1160984
" ""06027""","Inyo, CA",8,CAINC1,2,...,Population (persons) 1/,Number of persons,15417,15626,15799,15491,16344,16653,16879,17032,17226,16509,17748,17914,17954,18410,18420,18203,18083,17862,17794,17946,18317,18272,18312,18372,18337,18431,18395,18311,18241,18036,17968,17955,18117,18394,18593,18578,18478,18370,18426,18318,18544,18503,18385,18344,18348,18280,18097,17897,17819,17894,17993,18046
" ""06027""","Inyo, CA",8,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,3792,4146,4505,5147,5244,5657,6268,6752,7210,8631,9184,10323,11620,11772,12476,13183,13633,14174,14573,16160,17451,18243,18805,19255,20007,20185,20946,21836,22962,24251,25274,25751,30098,30067,31445,34616,36350,38752,40039,42667,41483,42438,43978,46280,47151,50348,52949,57009,58964,57444,60229,64335
" ""06029""","Kern, CA",8,CAINC1,1,...,Personal income (thousands of dollars),Thousands of dollars,1273392,1357079,1464866,1593327,1818667,2156400,2343300,2763966,2921259,3216417,3830294,4498790,4819966,5253132,5467802,6028100,6466455,6902908,7159440,7851244,8365507,9089058,9706159,10190092,10682018,10926342,11322808,11936703,12276732,12994011,13407973,14211992,15170250,16077655,17151814,18423467,19842944,21461861,23254646,23941459,23714483,25788759,27316563,29004846,29769366,31756475,32468356,32277777,32902090,34028516,35559701,40309555
" ""06029""","Kern, CA",8,CAINC1,2,...,Population (persons) 1/,Number of persons,325549,330868,336227,336833,343007,344840,356866,366932,372217,377990,393198,406407,418877,433698,446961,459411,474243,486217,497910,510980,527922,549535,569346,589897,599843,614707,620201,626719,634695,643016,655428,663803,676574,694059,714272,736296,760726,784511,803281,818327,830137,841365,848651,854392,862727,869837,876548,881094,887316,893618,898898,901362
" ""06029""","Kern, CA",8,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,3912,4102,4357,4730,5302,6253,6566,7533,7848,8509,9741,11070,11507,12112,12233,13121,13635,14197,14379,15365,15846,16540,17048,17274,17808,17775,18257,19046,19343,20208,20457,21410,22422,23165,24013,25022,26084,27357,28950,29257,28567,30651,32188,33948,34506,36509,37041,36634,37080,38079,39559,44721
" ""06031""","Kings, CA",8,CAINC1,1,...,Personal income (thousands of dollars),Thousands of dollars,240790,265191,278879,314305,345342,437143,445741,532959,531403,525109,684421,846922,828510,892113,858897,999413,1006438,1007552,1157771,1243853,1382176,1393565,1495923,1630271,1719615,1782529,1802543,1929607,1972942,1998252,2135835,2253273,2465233,2719851,3062578,3309645,3412644,3452184,3975375,3860335,3705122,3987408,4427949,4309648,4418084,4788661,4940785,5124392,5333250,5333096,5565748,6387018
" ""06031""","Kings, CA",8,CAINC1,2,...,Population (persons) 1/,Number of persons,65647,66570,66450,68161,68308,69067,70590,71708,72467,73556,73562,74265,76229,78213,81138,83004,85205,86372,88032,94510,99850,101885,104334,107414,109161,111565,113840,115411,116769,121457,126402,129835,132881,135369,139393,143601,145147,147712,150420,152027,152278,152342,151779,150884,150237,149373,149960,149269,149542,151221,152727,152692
