"NAME","B19013_001E","B01001_001E","state","county"
"San Diego County, California","62962","3138265","06","073"
"Tulare County, California","42708","446644","06","107"
"Yolo County, California","55918","202288","06","113"
"Humboldt County, California","41426","134613","06","023"
"Nevada County, California","57353","98509","06","057"
"Alpine County, California","58636","1165","06","003"
"Madera County, California","45625","151435","06","039"
"Mendocino County, California","43469","87497","06","045"
"Santa Cruz County, California","66519","264808","06","087"
"Trinity County, California","36890","13638","06","105"
"Los Angeles County, California","55909","9893481","06","037"
"Riverside County, California","56529","2228528","06","065"
"San Bernardino County, California","54090","2056915","06","071"
"Santa Clara County, California","91702","1812208","06","085"
"Marin County, California","90839","254643","06","041"
"Placer County, California","72725","355924","06","061"
"Siskiyou County, California","37709","44503","06","093"
"Shasta County, California","44651","177966","06","089"
"Solano County, California","67177","417258","06","095"
"Del Norte County, California","37909","28357","06","015"
"Glenn County, California","43023","28054","06","021"
"Butte County, California","43752","220542","06","007"
"Plumas County, California","45794","19586","06","063"
"San Luis Obispo County, California","58697","272094","06","079"
"Kern County, California","48552","848204","06","029"
"Ventura County, California","76544","829017","06","111"
"Calaveras County, California","55295","45147","06","009"
"San Mateo County, California","88202","729543","06","081"
"Tuolumne County, California","48426","54728","06","109"
"Amador County, California","53684","37422","06","005"
"Merced County, California","42591","258707","06","047"
"Mariposa County, California","49820","18061","06","043"
"Yuba County, California","44902","72574","06","115"
"Contra Costa County, California","78756","1065794","06","013"
"Lassen County, California","53107","34018","06","035"
"Stanislaus County, California","49297","518321","06","099"
"Sonoma County, California","63356","487469","06","097"
"Tehama County, California","41924","63241","06","103"
"Mono County, California","61757","14217","06","051"
"San Benito County, California","66237","56115","06","069"
"Sacramento County, California","55064","1435207","06","067"
"El Dorado County, California","69297","180982","06","017"
"Monterey County, California","59168","420569","06","053"
"Sierra County, California","39009","3127","06","091"
"Santa Barbara County, California","62779","427288","06","083"
"Imperial County, California","41807","175201","06","025"
"Alameda County, California","72112","1535248","06","001"
"Napa County, California","70443","137837","06","055"
"San Francisco County, California","75604","817501","06","075"
"Colusa County, California","52158","21366","06","011"
"Kings County, California","48133","151806","06","031"
"Fresno County, California","45563","939605","06","019"
"Orange County, California","75422","3051771","06","059"
"Sutter County, California","50408","94787","06","101"
"San Joaquin County, California","53380","693177","06","077"
"Lake County, California","36548","64260","06","033"
"Modoc County, California","36212","9468","06","049"
"Inyo County, California","44796","18482","06","027"
