"NAME","B19013_001E","B01001_001E","state","county"
"Lake County, California","35997","64209","06","033"
"Modoc County, California","38560","9335","06","049"
"Inyo County, California","45625","18439","06","027"
"Santa Barbara County, California","63409","431555","06","083"
"Imperial County, California","41772","177026","06","025"
"Alameda County, California","73775","1559308","06","001"
"Napa County, California","70925","139253","06","055"
"San Francisco County, California","78378","829072","06","075"
"Colusa County, California","50503","21424","06","011"
"Kings County, California","47341","151390","06","031"
"Fresno County, California","45201","948844","06","019"
"Orange County, California","75998","3086331","06","059"
"Sutter County, California","51527","95067","06","101"
"San Joaquin County, California","53253","701050","06","077"
"Merced County, California","43066","261609","06","047"
"Mariposa County, California","50560","17946","06","043"
"Yuba County, California","45470","73059","06","115"
"Contra Costa County, California","79799","1081232","06","013"
"Lassen County, California","53351","33356","06","035"
"Stanislaus County, California","49573","522794","06","099"
"Sonoma County, California","63799","491790","06","097"
"Tehama County, California","42369","63284","06","103"
"Mono County, California","61814","14193","06","051"
"San Benito County, California","67874","56888","06","069"
"Sierra County, California","43107","3019","06","091"
"Sacramento County, California","55615","1450277","06","067"
"El Dorado County, California","68507","181465","06","017"
"Monterey County, California","58582","424927","06","053"
"San Diego County, California","63996","3183143","06","073"
"Tulare County, California","42863","451108","06","107"
"Yolo County, California","55508","204162","06","113"
"Humboldt County, California","42153","134876","06","023"
"Nevada County, California","56949","98606","06","057"
"Alpine County, California","61343","1202","06","003"
"Madera County, California","45490","152452","06","039"
"Los Angeles County, California","55870","9974203","06","037"
"Mendocino County, California","43290","87612","06","045"
"Santa Cruz County, California","66923","267203","06","087"
"Trinity County, California","36862","13515","06","105"
"Riverside County, California","56592","2266899","06","065"
"San Bernardino County, California","54100","2078586","06","071"
"Santa Clara County, California","93854","1841569","06","085"
"Marin County, California","91529","256802","06","041"
"Placer County, California","73747","361518","06","061"
"Siskiyou County, California","37495","44261","06","093"
"Shasta County, California","44556","178520","06","089"
"Solano County, California","67341","421624","06","095"
"Del Norte County, California","39302","28066","06","015"
"Glenn County, California","40106","28019","06","021"
"Butte County, California","43165","221578","06","007"
"Plumas County, California","48032","19286","06","063"
"San Luis Obispo County, California","59454","274184","06","079"
"Kern County, California","48574","857730","06","029"
"Ventura County, California","77335","835790","06","111"
"Calaveras County, California","54936","44921","06","009"
"San Mateo County, California","91421","739837","06","081"
"Tuolumne County, California","48493","54347","06","109"
"Amador County, California","52964","37159","06","005"
