"NAME","B19013_001E","B01001_001E","state","county"
"Lake County, California","42475","64148","06","033"
"Merced County, California","50129","269075","06","047"
"Mariposa County, California","51199","17540","06","043"
"Modoc County, California","45149","8938","06","049"
"Contra Costa County, California","93712","1133247","06","013"
"Inyo County, California","52874","18085","06","027"
"Stanislaus County, California","57387","539301","06","099"
"Santa Barbara County, California","71657","443738","06","083"
"Mono County, California","63018","14174","06","051"
"San Benito County, California","81977","59416","06","069"
"Sacramento County, California","63902","1510023","06","067"
"El Dorado County, California","80582","186661","06","017"
"Monterey County, California","66676","433212","06","053"
"San Francisco County, California","104552","870044","06","075"
"San Diego County, California","74855","3302833","06","073"
"Tulare County, California","47518","460477","06","107"
"Humboldt County, California","45528","135768","06","023"
"Alpine County, California","64688","1146","06","003"
"Madera County, California","52884","155013","06","039"
"Santa Cruz County, California","78041","273765","06","087"
"Trinity County, California","38497","12862","06","105"
"Riverside County, California","63948","2383286","06","065"
"San Bernardino County, California","60164","2135413","06","071"
"Marin County, California","110217","260295","06","041"
"Placer County, California","84357","380077","06","061"
"Shasta County, California","50905","179085","06","089"
"Solano County, California","77609","438530","06","095"
"Colusa County, California","56704","21464","06","011"
"Tehama County, California","42899","63373","06","103"
"Yuba County, California","52624","75493","06","115"
"Lassen County, California","56362","31185","06","035"
"Sonoma County, California","76753","501317","06","097"
"Imperial County, California","45834","180216","06","025"
"Alameda County, California","92574","1643700","06","001"
"Napa County, California","84753","140530","06","055"
"Sierra County, California","48125","2930","06","091"
"Yolo County, California","65923","214977","06","113"
"Nevada County, California","63240","99092","06","057"
"Mendocino County, California","49233","87422","06","045"
"Los Angeles County, California","64251","10098052","06","037"
"Santa Clara County, California","116178","1922200","06","085"
"Siskiyou County, California","44200","43540","06","093"
"Del Norte County, California","45258","27424","06","015"
"Glenn County, California","47395","27897","06","021"
"Butte County, California","48443","227075","06","007"
"Kings County, California","53865","150075","06","031"
"Plumas County, California","53270","18699","06","063"
"San Luis Obispo County, California","70699","281455","06","079"
"Fresno County, California","51261","978130","06","019"
"Kern County, California","52479","883053","06","029"
"Orange County, California","85398","3164182","06","059"
"Ventura County, California","84017","848112","06","111"
"Calaveras County, California","58151","45235","06","009"
"Sutter County, California","56955","95872","06","101"
"San Mateo County, California","113776","765935","06","081"
"Tuolumne County, California","56493","53932","06","109"
"San Joaquin County, California","61145","732212","06","077"
"Amador County, California","61198","37829","06","005"
