"NAME","B19013_001E","B01001_001E","state","county"
"Alameda County, California","112017","1673133","06","001"
"Alpine County, California","96000","1344","06","003"
"Amador County, California","69955","40095","06","005"
"Butte County, California","59863","217884","06","007"
"Calaveras County, California","70119","45349","06","009"
"Colusa County, California","61861","21780","06","011"
"Contra Costa County, California","110455","1161643","06","013"
"Del Norte County, California","53280","27655","06","015"
"El Dorado County, California","88770","190568","06","017"
"Fresno County, California","61276","1003150","06","019"
"Glenn County, California","56332","28675","06","021"
"Humboldt County, California","53350","137014","06","023"
"Imperial County, California","49078","180051","06","025"
"Inyo County, California","60925","18804","06","027"
"Kern County, California","58824","905644","06","029"
"Kings County, California","63267","151887","06","031"
"Lake County, California","53399","67749","06","033"
"Lassen County, California","59292","32949","06","035"
"Los Angeles County, California","76367","10019635","06","037"
"Madera County, California","66709","156304","06","039"
"Marin County, California","131008","262387","06","041"
"Mariposa County, California","53304","17225","06","043"
"Mendocino County, California","56378","91534","06","045"
"Merced County, California","58861","279150","06","047"
"Modoc County, California","51090","8723","06","049"
"Mono County, California","71138","13291","06","051"
"Monterey County, California","82013","438953","06","053"
"Napa County, California","97498","138795","06","055"
"Nevada County, California","74617","102090","06","057"
"Orange County, California","100485","3182923","06","059"
"Placer County, California","99734","400330","06","061"
"Plumas County, California","57885","19631","06","063"
"Riverside County, California","76066","2409331","06","065"
"Sacramento County, California","76422","1571767","06","067"
"San Benito County, California","95606","63329","06","069"
"San Bernardino County, California","70287","2171071","06","071"
"San Diego County, California","88240","3296317","06","073"
"San Francisco County, California","126187","865933","06","075"
"San Joaquin County, California","74962","771406","06","077"
"San Luis Obispo County, California","82514","282771","06","079"
"San Mateo County, California","136837","762488","06","081"
"Santa Barbara County, California","84356","447651","06","083"
"Santa Clara County, California","140258","1932022","06","085"
"Santa Cruz County, California","96093","272138","06","087"
"Shasta County, California","61937","181935","06","089"
"Sierra County, California","56152","3079","06","091"
"Siskiyou County, California","49857","44151","06","093"
"Solano County, California","89648","451432","06","095"
"Sonoma County, California","91607","492498","06","097"
"Stanislaus County, California","68368","550842","06","099"
"Sutter County, California","67003","99080","06","101"
"Tehama County, California","52901","65345","06","103"
"Trinity County, California","42206","15818","06","105"
"Tulare County, California","57394","470999","06","107"
"Tuolumne County, California","66846","55243","06","109"
"Ventura County, California","94150","845255","06","111"
"Yolo County, California","78386","216703","06","113"
"Yuba County, California","62666","80404","06","115"
