"NAME","B19013_001E","B01001_001E","state","county"
"San Diego County, California","66529","3253356","06","073"
"Tulare County, California","42789","455769","06","107"
"Yolo County, California","57663","209671","06","113"
"Humboldt County, California","42685","135182","06","023"
"Nevada County, California","57429","98639","06","057"
"Alpine County, California","62375","1184","06","003"
"Madera County, California","45742","153366","06","039"
"Mendocino County, California","43510","87409","06","045"
"Santa Cruz County, California","70088","270931","06","087"
"Trinity County, California","35270","13180","06","105"
"Los Angeles County, California","57952","10057155","06","037"
"Riverside County, California","57972","2323892","06","065"
"San Bernardino County, California","54469","2106754","06","071"
"Santa Clara County, California","101173","1885056","06","085"
"Marin County, California","100310","259358","06","041"
"Placer County, California","76926","370571","06","061"
"Siskiyou County, California","38524","43668","06","093"
"Shasta County, California","45582","179228","06","089"
"Solano County, California","69227","429596","06","095"
"Del Norte County, California","42363","27628","06","015"
"Glenn County, California","41699","27976","06","021"
"Butte County, California","44366","223877","06","007"
"Plumas County, California","50125","18754","06","063"
"San Luis Obispo County, California","64014","278680","06","079"
"Kern County, California","49788","871337","06","029"
"Ventura County, California","78593","843110","06","111"
"Calaveras County, California","53502","44787","06","009"
"San Mateo County, California","98546","754748","06","081"
"Tuolumne County, California","50731","53864","06","109"
"Amador County, California","57032","36963","06","005"
"Lake County, California","36132","64076","06","033"
"Modoc County, California","41194","9033","06","049"
"Inyo County, California","47278","18326","06","027"
"Santa Barbara County, California","65161","439395","06","083"
"Imperial County, California","42560","178807","06","025"
"Alameda County, California","79831","1605217","06","001"
"Napa County, California","74609","140823","06","055"
"San Francisco County, California","87701","850282","06","075"
"Colusa County, California","54946","21361","06","011"
"Kings County, California","47241","150261","06","031"
"Fresno County, California","45963","963160","06","019"
"Orange County, California","78145","3132211","06","059"
"Sutter County, California","52943","95406","06","101"
"San Joaquin County, California","55045","714860","06","077"
"Merced County, California","44397","265001","06","047"
"Mariposa County, California","49265","17645","06","043"
"Yuba County, California","48739","73897","06","115"
"Contra Costa County, California","82881","1107925","06","013"
"Lassen County, California","51457","31945","06","035"
"Stanislaus County, California","51591","530561","06","099"
"Sonoma County, California","66833","497776","06","097"
"Tehama County, California","40687","63015","06","103"
"Mono County, California","58937","14051","06","051"
"San Benito County, California","73814","58051","06","069"
"Sacramento County, California","57509","1479300","06","067"
"El Dorado County, California","72586","183000","06","017"
"Monterey County, California","60889","430201","06","053"
"Sierra County, California","43984","2931","06","091"
